Prscrbr_Type,total_records,opioid_records,total_claims,opioid_rate_pct
Addiction Medicine,5224,1022,276642,19.56
Advanced Heart Failure and Transplant Cardiology,22676,6,1510051,0.03
Allergy/ Immunology,55988,128,2418380,0.23
Anesthesiology,49943,17523,4680894,35.09
Cardiac Surgery,3154,208,178371,6.59
Cardiology,711816,1399,61345489,0.2
Certified Clinical Nurse Specialist,37002,762,1799687,2.06
Certified Nurse Midwife,3545,49,83260,1.38
Clinic/Center,1270,31,56756,2.44
Clinical Cardiac Electrophysiology,54440,291,4017786,0.53
Colorectal Surgery (Proctology),7286,1188,215372,16.31
Critical Care (Intensivists),23728,210,1145245,0.89
Dentist,243376,20826,8942168,8.56
Dermatology,191895,1074,8775215,0.56
Diagnostic Radiology,3687,263,175320,7.13
Emergency Medicine,276343,33202,10131767,12.01
Endocrinology,276743,424,16744055,0.15
Family Medicine,12414,569,507160,4.58
Family Practice,6713832,201212,356827924,3.0
Gastroenterology,212365,1030,10880798,0.49
General Practice,409892,8428,24917058,2.06
General Surgery,61816,15887,2322220,25.7
Geriatric Medicine,136256,3613,8748444,2.65
Geriatric Psychiatry,4345,23,281130,0.53
Gynecological Oncology,5180,720,136867,13.9
Hand Surgery,5346,2387,232021,44.65
Hematology,10278,732,346605,7.12
Hematology-Oncology,186751,14689,6469068,7.87
Hematopoietic Cell Transplantation and Cellular Therapy,1549,92,48729,5.94
Hospice and Palliative Care,20061,4246,877941,21.17
Hospitalist,165067,5719,6076646,3.46
Infectious Disease,97750,1343,3184293,1.37
Internal Medicine,5570396,147649,324890230,2.65
Interventional Cardiology,151234,110,13375627,0.07
Interventional Pain Management,33031,12112,3761626,36.67
Interventional Radiology,1715,189,91985,11.02
Legal Medicine,1510,33,98775,2.19
Maxillofacial Surgery,4449,1085,334822,24.39
Medical Oncology,58465,4606,1994927,7.88
Micrographic Dermatologic Surgery,2671,179,181487,6.7
Naturopath,3631,109,83859,3.0
Nephrology,256541,1777,11641839,0.69
Neurology,381914,8084,19177440,2.12
Neuropsychiatry,18412,251,766903,1.36
Neurosurgery,13615,3740,547700,27.47
Nuclear Medicine,2018,27,130875,1.34
Nurse Practitioner,5645287,175862,235237890,3.12
Obstetrics & Gynecology,122144,2893,4016959,2.37
Ophthalmology,263561,1002,25758233,0.38
Optometry,143730,9,6952849,0.01
Oral & Maxillofacial Surgery,2583,655,171667,25.36
Oral Surgery (Dentist only),27407,6642,1908455,24.23
Orthopaedic Surgery,3105,1089,102257,35.07
Orthopedic Surgery,116980,35611,6554688,30.44
Osteopathic Manipulative Medicine,18695,872,968772,4.66
Otolaryngology,92766,4805,4601356,5.18
Pain Management,49883,18098,4966733,36.28
Pathology,1289,51,55241,3.96
Pediatric Medicine,45179,1261,1892100,2.79
Pharmacist,91566,653,4522799,0.71
Physical Medicine and Rehabilitation,98432,22579,6333302,22.94
Physician Assistant,2043621,105397,84261318,5.16
Plastic Surgery,1753,439,39370,25.04
Plastic and Reconstructive Surgery,9077,2561,285468,28.21
Podiatry,93360,7595,3989535,8.14
Preventive Medicine,6522,382,682113,5.86
Psychiatry,526361,3801,30930508,0.72
Psychiatry & Neurology,120050,1065,4640512,0.89
"Psychologist, Clinical",2497,11,107785,0.44
Pulmonary Disease,219160,1155,12998831,0.53
Radiation Oncology,12171,1579,610402,12.97
Registered Nurse,7909,232,294495,2.93
Rheumatology,154946,8442,10497357,5.45
Sleep Medicine,7496,188,282796,2.51
Specialist,9721,505,525426,5.19
Sports Medicine,10409,1609,479359,15.46
Student in an Organized Health Care Education/Training Program,138473,7771,2983694,5.61
Surgical Oncology,1671,567,49815,33.93
Thoracic Surgery,3767,570,146745,15.13
Undefined Physician type,2286,96,134195,4.2
Urology,165995,7988,13077448,4.81
Vascular Surgery,13232,1889,576516,14.28
