Prscrbr_State_Abrvtn,total_records,opioid_records,avg_claims,avg_drug_cost,unique_npis,opioid_rate_pct,cluster
AK,38559,1708,36.176171581213204,6598.171004953448,2283,4.43,1
AL,446670,15239,61.196108984261315,9227.925255401078,14704,3.412,0
AR,307793,10554,55.35628490576459,6522.673342018825,9968,3.429,2
AZ,499195,19543,48.37249972455653,7409.62016127966,23694,3.915,2
CA,2457348,89024,50.68395522327322,8506.78842054524,110430,3.623,0
CO,369342,19516,42.195193073086735,6636.132344981074,18753,5.284,1
CT,320983,11245,49.39960371733083,9515.037421919542,15338,3.503,0
DC,43721,1349,37.680039340362754,10394.945803618399,3369,3.085,0
DE,82787,2997,50.10838658243444,8412.076469131627,3505,3.62,0
FL,1955768,55953,55.29106161876051,7975.831589518798,75160,2.861,0
GA,771977,26284,57.42060709062576,8772.898325610737,29830,3.405,0
HI,79877,2951,45.68982310302089,8843.381866244352,3937,3.694,0
IA,298940,10691,52.12412858767646,6355.11742975179,11281,3.576,2
ID,146433,6980,44.90736377729064,6081.243200917826,6289,4.767,1
IL,914787,32065,52.42471526158548,7716.619191319946,41150,3.505,0
IN,607220,23217,54.09118112051645,8062.570917064656,21835,3.823,0
KS,260970,11567,50.90903552132429,6665.388780434532,9464,4.432,2
KY,504276,15164,54.95945672607858,7669.165277625744,16245,3.007,0
LA,450083,13800,56.23064856926389,8041.25406900505,17134,3.066,0
MA,630677,24634,48.97193650632574,8797.299100046459,30824,3.906,0
MD,393686,15077,44.11627286720889,7473.359204594525,20622,3.83,2
ME,145641,6526,43.072342266257444,7369.91570258375,5941,4.481,1
MI,939765,37685,50.20472032901842,7784.749892877475,37055,4.01,2
MN,463948,18000,46.40825911524568,6256.993133411504,20604,3.88,2
MO,579034,19813,57.657006324326375,7898.08142112553,20971,3.422,0
MS,277869,8765,57.12076194177832,7663.990152805818,9001,3.154,0
MT,91950,4575,44.729679173463836,5308.735657313758,4064,4.976,1
NC,966757,37483,51.17060957407084,7872.162144023782,36475,3.877,0
ND,72677,2793,47.945966399273495,5322.286295801973,2924,3.843,2
NE,179258,6655,49.68690379229937,6431.596517812315,6820,3.713,2
NH,124087,5018,43.62586733501495,6631.960431793822,5808,4.044,2
NJ,672296,19830,50.474099206301986,8862.578801361306,28842,2.95,0
NM,144418,6275,45.044973618247035,6263.768914262765,6684,4.345,1
NV,190079,7772,49.03089767938594,7327.399516622037,8219,4.089,2
NY,1726463,46833,52.36468548703331,10177.313159818657,77179,2.713,0
OH,1099684,37944,53.58424601976568,7697.621591220751,43651,3.45,0
OK,319392,11408,52.89113377918044,7630.714110622683,11514,3.572,0
OR,340044,17491,44.26627142369811,6066.075558104245,15917,5.144,1
PA,1283590,45319,53.882959511993704,8054.409128000374,50761,3.531,0
PR,342629,4018,81.69070043691573,7211.445726981662,9005,1.173,3
RI,104511,3763,51.33908392418023,6551.257564371214,4611,3.601,2
SC,470014,16617,52.1660929248916,8102.395143974434,18069,3.535,0
SD,81550,3167,48.43038626609442,6052.4622374003675,3382,3.884,2
TN,682476,25467,54.28182676020842,7863.552557452569,24056,3.732,0
TX,1792881,55561,51.813379694469404,8296.326157079026,72735,3.099,0
UT,177150,9259,44.45692915608242,6003.884195596952,8665,5.227,1
VA,595003,20828,48.02676793226253,6972.672974119458,26000,3.5,2
VT,58425,2787,41.36607616602482,6878.672925802311,2256,4.77,1
WA,529760,25788,43.946490863787375,6189.190115391876,26504,4.868,1
WI,512300,20898,50.39710716377123,7144.458674233847,21149,4.079,2
WV,202094,5995,52.47643175947826,7135.754388057043,7055,2.966,0
WY,39191,1910,41.71960399071215,4494.812958332271,1854,4.874,1
